,trimester,artistID,counts,id,name,url,pictureURL
0,1956Q2,1395,1,1395,Freemasons,http://www.last.fm/music/Freemasons,http://userserve-ak.last.fm/serve/252/29022961.png
1,1956Q3,1583,2,1583,Баста,http://www.last.fm/music/%D0%91%D0%B0%D1%81%D1%82%D0%B0,http://userserve-ak.last.fm/serve/252/45877441.png
2,1957Q1,2984,1,2984,Claudia Leitte,http://www.last.fm/music/Claudia+Leitte,http://userserve-ak.last.fm/serve/252/62062815.png
3,1979Q2,250,1,250,Bob Marley,http://www.last.fm/music/Bob+Marley,http://userserve-ak.last.fm/serve/252/77849.jpg
4,2005Q3,11892,35,11892,Blood Ruby,http://www.last.fm/music/Blood+Ruby,http://userserve-ak.last.fm/serve/252/777322.jpg
5,2005Q3,599,11,599,David Bowie,http://www.last.fm/music/David+Bowie,http://userserve-ak.last.fm/serve/252/13533737.jpg
6,2005Q3,51,10,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
7,2005Q3,227,10,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
8,2005Q3,1377,10,1377,The Fray,http://www.last.fm/music/The+Fray,http://userserve-ak.last.fm/serve/252/15403831.jpg
9,2005Q4,227,20,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
10,2005Q4,51,16,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
11,2005Q4,225,16,225,Interpol,http://www.last.fm/music/Interpol,http://userserve-ak.last.fm/serve/252/50656.jpg
12,2005Q4,59,15,59,New Order,http://www.last.fm/music/New+Order,http://userserve-ak.last.fm/serve/252/6650979.jpg
13,2005Q4,217,15,217,Death Cab for Cutie,http://www.last.fm/music/Death+Cab+for+Cutie,http://userserve-ak.last.fm/serve/252/60010487.jpg
14,2006Q1,51,11,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
15,2006Q1,439,10,439,Los Hermanos,http://www.last.fm/music/Los+Hermanos,http://userserve-ak.last.fm/serve/252/22264369.jpg
16,2006Q1,1768,8,1768,Pato Fu,http://www.last.fm/music/Pato+Fu,http://userserve-ak.last.fm/serve/252/50454549.jpg
17,2006Q1,1159,7,1159,Architecture in Helsinki,http://www.last.fm/music/Architecture+in+Helsinki,http://userserve-ak.last.fm/serve/252/59960205.jpg
18,2006Q1,2660,7,2660,Bidê ou Balde,http://www.last.fm/music/Bid%C3%AA+ou+Balde,http://userserve-ak.last.fm/serve/252/53768009.jpg
19,2006Q2,72,17,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
20,2006Q2,227,17,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
21,2006Q2,187,15,187,a-ha,http://www.last.fm/music/a-ha,http://userserve-ak.last.fm/serve/252/44717589.png
22,2006Q2,1013,14,1013,Ultravox,http://www.last.fm/music/Ultravox,http://userserve-ak.last.fm/serve/252/48817001.jpg
23,2006Q2,2562,13,2562,Arcadia,http://www.last.fm/music/Arcadia,http://userserve-ak.last.fm/serve/252/2227196.jpg
24,2006Q3,55,36,55,Kylie Minogue,http://www.last.fm/music/Kylie+Minogue,http://userserve-ak.last.fm/serve/252/12740835.jpg
25,2006Q3,289,34,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
26,2006Q3,789,29,789,Dannii Minogue,http://www.last.fm/music/Dannii+Minogue,http://userserve-ak.last.fm/serve/252/61744951.png
27,2006Q3,800,28,800,Atomic Kitten,http://www.last.fm/music/Atomic+Kitten,http://userserve-ak.last.fm/serve/252/37632331.png
28,2006Q3,798,24,798,Geri Halliwell,http://www.last.fm/music/Geri+Halliwell,http://userserve-ak.last.fm/serve/252/51629225.png
29,2006Q4,16875,31,16875,Bankrupt,http://www.last.fm/music/Bankrupt,http://userserve-ak.last.fm/serve/252/55754197.jpg
30,2006Q4,217,27,217,Death Cab for Cutie,http://www.last.fm/music/Death+Cab+for+Cutie,http://userserve-ak.last.fm/serve/252/60010487.jpg
31,2006Q4,2044,18,2044,Sarah Brightman,http://www.last.fm/music/Sarah+Brightman,http://userserve-ak.last.fm/serve/252/49885835.png
32,2006Q4,67,17,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
33,2006Q4,190,17,190,Muse,http://www.last.fm/music/Muse,http://userserve-ak.last.fm/serve/252/416514.jpg
34,2007Q1,6836,27,6836,Ted Leo and The Pharmacists,http://www.last.fm/music/Ted+Leo+and+The+Pharmacists,http://userserve-ak.last.fm/serve/252/54696187.jpg
35,2007Q1,316,23,316,Alanis Morissette,http://www.last.fm/music/Alanis+Morissette,http://userserve-ak.last.fm/serve/252/6797661.jpg
36,2007Q1,59,22,59,New Order,http://www.last.fm/music/New+Order,http://userserve-ak.last.fm/serve/252/6650979.jpg
37,2007Q1,3763,21,3763,The Corrs,http://www.last.fm/music/The+Corrs,http://userserve-ak.last.fm/serve/252/58209217.png
38,2007Q1,72,17,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
39,2007Q2,14057,48,14057,Herr M.,http://www.last.fm/music/Herr+M.,http://userserve-ak.last.fm/serve/252/101175.jpg
40,2007Q2,4118,47,4118,The Postal Service,http://www.last.fm/music/The+Postal+Service,http://userserve-ak.last.fm/serve/252/2285969.jpg
41,2007Q2,1098,28,1098,Björk,http://www.last.fm/music/Bj%C3%B6rk,http://userserve-ak.last.fm/serve/252/41268145.png
42,2007Q2,72,27,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
43,2007Q2,5027,26,5027,Le Tigre,http://www.last.fm/music/Le+Tigre,http://userserve-ak.last.fm/serve/252/5426337.jpg
44,2007Q3,378,52,378,Evanescence,http://www.last.fm/music/Evanescence,http://userserve-ak.last.fm/serve/252/8403975.jpg
45,2007Q3,72,43,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
46,2007Q3,51,37,51,Duran Duran,http://www.last.fm/music/Duran+Duran,http://userserve-ak.last.fm/serve/252/155668.jpg
47,2007Q3,2605,34,2605,Bonobo,http://www.last.fm/music/Bonobo,http://userserve-ak.last.fm/serve/252/53939783.png
48,2007Q3,154,33,154,Radiohead,http://www.last.fm/music/Radiohead,http://userserve-ak.last.fm/serve/252/8461967.jpg
49,2007Q4,289,69,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
50,2007Q4,154,43,154,Radiohead,http://www.last.fm/music/Radiohead,http://userserve-ak.last.fm/serve/252/8461967.jpg
51,2007Q4,207,29,207,Arctic Monkeys,http://www.last.fm/music/Arctic+Monkeys,http://userserve-ak.last.fm/serve/252/33550647.jpg
52,2007Q4,707,27,707,Metallica,http://www.last.fm/music/Metallica,http://userserve-ak.last.fm/serve/252/7560709.jpg
53,2007Q4,533,25,533,Oasis,http://www.last.fm/music/Oasis,http://userserve-ak.last.fm/serve/252/44937531.jpg
54,2008Q1,972,49,972,t.A.T.u.,http://www.last.fm/music/t.A.T.u.,http://userserve-ak.last.fm/serve/252/161875.jpg
55,2008Q1,3501,47,3501,Mylène Farmer,http://www.last.fm/music/Myl%C3%A8ne+Farmer,http://userserve-ak.last.fm/serve/252/48318645.png
56,2008Q1,15236,45,15236,In-Grid,http://www.last.fm/music/In-Grid,http://userserve-ak.last.fm/serve/252/218974.jpg
57,2008Q1,8388,35,8388,Viking Quest,http://www.last.fm/music/Viking+Quest,http://userserve-ak.last.fm/serve/252/11093503.jpg
58,2008Q1,265,32,265,Céline Dion,http://www.last.fm/music/C%C3%A9line+Dion,http://userserve-ak.last.fm/serve/252/47543179.png
59,2008Q2,67,51,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
60,2008Q2,1412,51,1412,Led Zeppelin,http://www.last.fm/music/Led+Zeppelin,http://userserve-ak.last.fm/serve/252/279035.jpg
61,2008Q2,1524,50,1524,Hirax,http://www.last.fm/music/Hirax,http://userserve-ak.last.fm/serve/252/33025115.jpg
62,2008Q2,157,45,157,Michael Jackson,http://www.last.fm/music/Michael+Jackson,http://userserve-ak.last.fm/serve/252/30501527.png
63,2008Q2,293,40,293,Ashlee Simpson,http://www.last.fm/music/Ashlee+Simpson,http://userserve-ak.last.fm/serve/252/33543587.png
64,2008Q3,289,86,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
65,2008Q3,72,69,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
66,2008Q3,65,56,65,Coldplay,http://www.last.fm/music/Coldplay,http://userserve-ak.last.fm/serve/252/67770.jpg
67,2008Q3,533,48,533,Oasis,http://www.last.fm/music/Oasis,http://userserve-ak.last.fm/serve/252/44937531.jpg
68,2008Q3,154,47,154,Radiohead,http://www.last.fm/music/Radiohead,http://userserve-ak.last.fm/serve/252/8461967.jpg
69,2008Q4,288,51,288,Rihanna,http://www.last.fm/music/Rihanna,http://userserve-ak.last.fm/serve/252/53023109.png
70,2008Q4,292,49,292,Christina Aguilera,http://www.last.fm/music/Christina+Aguilera,http://userserve-ak.last.fm/serve/252/47363849.png
71,2008Q4,89,46,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
72,2008Q4,234,46,234,Nirvana,http://www.last.fm/music/Nirvana,http://userserve-ak.last.fm/serve/252/380269.jpg
73,2008Q4,295,45,295,Beyoncé,http://www.last.fm/music/Beyonc%C3%A9,http://userserve-ak.last.fm/serve/252/61958009.png
74,2009Q1,72,56,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
75,2009Q1,15250,44,15250,This Light,http://www.last.fm/music/This+Light,http://userserve-ak.last.fm/serve/252/35726445.jpg
76,2009Q1,289,41,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
77,2009Q1,67,40,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
78,2009Q1,1965,38,1965,Four Tet,http://www.last.fm/music/Four+Tet,http://userserve-ak.last.fm/serve/252/52097589.jpg
79,2009Q2,157,88,157,Michael Jackson,http://www.last.fm/music/Michael+Jackson,http://userserve-ak.last.fm/serve/252/30501527.png
80,2009Q2,89,84,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
81,2009Q2,67,55,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
82,2009Q2,13999,48,13999,Heartscore,http://www.last.fm/music/Heartscore,http://userserve-ak.last.fm/serve/252/32795281.jpg
83,2009Q2,289,45,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
84,2009Q3,701,58,701,Shakira,http://www.last.fm/music/Shakira,http://userserve-ak.last.fm/serve/252/52116105.png
85,2009Q3,190,55,190,Muse,http://www.last.fm/music/Muse,http://userserve-ak.last.fm/serve/252/416514.jpg
86,2009Q3,67,54,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
87,2009Q3,154,45,154,Radiohead,http://www.last.fm/music/Radiohead,http://userserve-ak.last.fm/serve/252/8461967.jpg
88,2009Q3,289,44,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
89,2009Q4,89,80,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
90,2009Q4,72,59,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
91,2009Q4,190,57,190,Muse,http://www.last.fm/music/Muse,http://userserve-ak.last.fm/serve/252/416514.jpg
92,2009Q4,173,50,173,Placebo,http://www.last.fm/music/Placebo,http://userserve-ak.last.fm/serve/252/300983.jpg
93,2009Q4,12356,50,12356,Hilary Chow,http://www.last.fm/music/Hilary+Chow,http://userserve-ak.last.fm/serve/252/40689521.jpg
94,2010Q1,227,83,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
95,2010Q1,89,75,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
96,2010Q1,190,75,190,Muse,http://www.last.fm/music/Muse,http://userserve-ak.last.fm/serve/252/416514.jpg
97,2010Q1,154,61,154,Radiohead,http://www.last.fm/music/Radiohead,http://userserve-ak.last.fm/serve/252/8461967.jpg
98,2010Q1,289,60,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
99,2010Q2,292,177,292,Christina Aguilera,http://www.last.fm/music/Christina+Aguilera,http://userserve-ak.last.fm/serve/252/47363849.png
100,2010Q2,89,104,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
101,2010Q2,227,81,227,The Beatles,http://www.last.fm/music/The+Beatles,http://userserve-ak.last.fm/serve/252/2588646.jpg
102,2010Q2,289,75,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
103,2010Q2,707,71,707,Metallica,http://www.last.fm/music/Metallica,http://userserve-ak.last.fm/serve/252/7560709.jpg
104,2010Q3,89,104,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
105,2010Q3,292,100,292,Christina Aguilera,http://www.last.fm/music/Christina+Aguilera,http://userserve-ak.last.fm/serve/252/47363849.png
106,2010Q3,288,93,288,Rihanna,http://www.last.fm/music/Rihanna,http://userserve-ak.last.fm/serve/252/53023109.png
107,2010Q3,300,92,300,Katy Perry,http://www.last.fm/music/Katy+Perry,http://userserve-ak.last.fm/serve/252/42128121.png
108,2010Q3,701,82,701,Shakira,http://www.last.fm/music/Shakira,http://userserve-ak.last.fm/serve/252/52116105.png
109,2010Q4,89,114,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
110,2010Q4,292,111,292,Christina Aguilera,http://www.last.fm/music/Christina+Aguilera,http://userserve-ak.last.fm/serve/252/47363849.png
111,2010Q4,289,110,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
112,2010Q4,344,108,344,Taylor Swift,http://www.last.fm/music/Taylor+Swift,http://userserve-ak.last.fm/serve/252/45447333.png
113,2010Q4,288,96,288,Rihanna,http://www.last.fm/music/Rihanna,http://userserve-ak.last.fm/serve/252/53023109.png
114,2011Q1,289,75,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
115,2011Q1,292,57,292,Christina Aguilera,http://www.last.fm/music/Christina+Aguilera,http://userserve-ak.last.fm/serve/252/47363849.png
116,2011Q1,89,56,89,Lady Gaga,http://www.last.fm/music/Lady+Gaga,http://userserve-ak.last.fm/serve/252/47390093.png
117,2011Q1,67,48,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
118,2011Q1,300,34,300,Katy Perry,http://www.last.fm/music/Katy+Perry,http://userserve-ak.last.fm/serve/252/42128121.png
119,2011Q2,72,51,72,Depeche Mode,http://www.last.fm/music/Depeche+Mode,http://userserve-ak.last.fm/serve/252/75022.jpg
120,2011Q2,289,31,289,Britney Spears,http://www.last.fm/music/Britney+Spears,http://userserve-ak.last.fm/serve/252/60126439.png
121,2011Q2,2548,30,2548,Wanessa,http://www.last.fm/music/Wanessa,http://userserve-ak.last.fm/serve/252/56942705.png
122,2011Q2,55,26,55,Kylie Minogue,http://www.last.fm/music/Kylie+Minogue,http://userserve-ak.last.fm/serve/252/12740835.jpg
123,2011Q2,67,26,67,Madonna,http://www.last.fm/music/Madonna,http://userserve-ak.last.fm/serve/252/340387.jpg
